metadata: deco UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: decoration,overview: description,overview: type,locus: locus,locus: from,locus: to,date: date,date: when,date: not before,date: not after,date: certainty,date: calendar,people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: artist name(s),people: artist ID(s),people: patron name(s),people: patron ID(s),people: dedicatee name(s),people: dedicatee ID(s),people: former owner name(s),people: former owner ID(s),people: donor name(s),people: donor ID(s),people: other name(s),people: other ID(s),orgs: name(s),orgs: ID(s),places: name(s),places: ID(s),bibliography: bibl(s),bibliography: ref(s),bibliography: ref URI(s)
WadhMinasian_44_deco_2,manuscript_7846,,WadhMinasian_44,,part,,,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_44_deco_3,manuscript_7846,,WadhMinasian_44,,part,,,,Rubricated titles; rubricated line above Quranic verses and hadiths.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_92_deco_1,manuscript_7912,,WadhMinasian_92,,manuscript,,WadhMinasian_92,,Rubrication of the copy's main title; rubricated line above some words.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_92_deco_2,manuscript_7912,,WadhMinasian_92,,manuscript,,WadhMinasian_92,,,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_358_deco_1,manuscript_7828,,WadhMinasian_358,,manuscript,,WadhMinasian_358,,Titles of prayers rubricated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_416_deco_1,manuscript_7833,,WadhMinasian_416,,manuscript,,WadhMinasian_416,,Rubricated titles; rubricated line above Alfīyah excerpts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_416_deco_2,manuscript_7833,,WadhMinasian_416,,manuscript,,WadhMinasian_416,,"Tooled, ruled edges.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_210_deco_1,manuscript_13058,,WadhMinasian_210,,manuscript,,WadhMinasian_210,,Rubricated titles; rubricated lines above some expressions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_210_deco_2,manuscript_13058,,WadhMinasian_210,,manuscript,,WadhMinasian_210,,Ruled and simple edges; tooled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Hertford_38_deco_1,manuscript_23036,,MS_Hertford_38,,manuscript,,MS_Hertford_38,,No decoration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
