metadata: history UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: history,overview: type,dates: when,dates: not before,dates: not after,dates: from,dates: to,dates: certainty,dates: calendar,people: author name(s),people: author ID(s),people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: annotator name(s),people: annotator ID(s),people: artist name(s),people: artist ID(s),people: patron name(s),people: patron ID(s),people: binder name(s),people: binder ID(s),people: former owner name(s),people: former owner ID(s),people: donor name(s),people: donor ID(s),people: bookseller name(s),people: bookseller ID(s),people: other name(s),people: other ID(s),former owners (person): standard name(s),former owners (person): birth,former owners (person): death,former owners (person): floruit not before,former owners (person): floruit not after,former owners (person): occupation,former owners (person): sex,former owners (person): nationality,former owners (person): lang knowledge,former owners (person): residence,former owners (person): affiliation,orgs: former owner name(s),orgs: former owner ID(s),orgs: patron name(s),orgs: patron ID(s),orgs: donor name(s),orgs: donor ID(s),orgs: other name(s),orgs: other ID(s),former owners (org): standard name(s),former owners (org): affiliation,former owners (org): latitude,former owners (org): longitude,former owners (org): settlement,former owners (org): country,places: name(s),places: ID(s),places: standard name(s),places: longitude,places: latitude,places: region,places: country
Persian_MS_862_hist_2,manuscript_7373,,Persian_MS_862,,manuscript,,Persian_MS_862,"Brought to London by Keene while on furlough, and sold to Methodist minister Rev. Adam Clarke (1762–1832), as per his note dated 1803. After his death, his son J. B. B. Clarke (d. 1855) inherited the volume and describes its present state in a catalogue published in 1835, p. 149, no. 69.",,,,,,,,,,,,,,,,,,,,,,,Rev. Adam Clarke (1762–1832); J. B. B. Clarke (d. 1855),person_120696480 person_79253656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London,place_7011781,,,,,
Persian_MS_862_hist_3,manuscript_7373,,Persian_MS_862,,manuscript,,Persian_MS_862,"The next year on 20 June 1836, Clarke's son auctioned his father's collection through the London firm of Sotheby & Son where bookseller John Cochran purchased it for £1 13 shillings.",,,,,,,,,,,,,,,,,,,,,,,,,,,John Cochran,person_12230379,,,,,,,,,,,,,,,,,,,,,,,,,,,,London,place_7011781,,,,,
Persian_MS_862_hist_4,manuscript_7373,,Persian_MS_862,,manuscript,,Persian_MS_862,"Probably sold by Cochran to bookseller William Baynes and Son who advertise it in their catalogue for £4 13 shillings that same year, with the same entry pasted on the left doublure.",,,,,,,,,,,,,,,,,,,,,,,,,,,William Baynes and Son,person_128183577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_862_hist_5,manuscript_7373,,Persian_MS_862,,manuscript,,Persian_MS_862,"Probably sold by William Baynes and Son to King's College Professor of Oriental Languages Duncan Forbes (1798–1868). Forbes later described the volume in his 1866 catalogue, valued at £6 16s 6d, before he sold his manuscript collection to his publisher in exchange for an annuity. Subsequently sold by that firm to W. H. Allen & Co.Alexander Lindsay, 25th Earl of Crawford (1812–1880) in 1866",,,,,,,,,,,,,,,,,,,,,,,"Duncan Forbes (1798–1868); Alexander Lindsay, 25th Earl of Crawford (1812–1880)",person_66617580 person_97751058,,,William Baynes and Son; W. H. Allen,person_128183577 person_45159035185601380002,,,,,,,,,,,,,,,,,,,,King's College,,,,,,,,,,,,,,
Persian_MS_862_hist_6,manuscript_7373,,Persian_MS_862,,manuscript,,Persian_MS_862,"Purchased by Enriqueta Rylands (1843–1908) in 1901 from James Ludovic Lindsay, 26th Earl of Crawford (1847–1913).",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford (1847–1913)",person_9985420,Enriqueta Rylands (1843–1908),person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_862_hist_7,manuscript_7373,,Persian_MS_862,,manuscript,,Persian_MS_862,"Bequeathed by Enriqueta Rylands (1843–1908) in 1908 to the John Rylands Library, Manchester.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enriqueta Rylands (1843–1908),person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,Manchester,place_7010477,,,,,
Arabic MS 216_hist_1,manuscript_13916,,Arabic MS 216,,manuscript,,,"From the collection of Colonel George William Hamilton (1807-1868) who served in India from 1823 to 1867 latterly as Commissioner in Delhi. He acquired over a thousand Indian and Persian manuscripts of which 352 were selected after his death for the British Museum. The remainder were purchased in 1868 by Alexander Lindsay, 25th Earl of Crawford.",,,,,,,,,,,,,,,,,,,,,,,"Colonel George William Hamilton (1807-1868); Alexander Lindsay, 25th Earl of Crawford",person_f830 person_97751058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic MS 216_hist_2,manuscript_13916,,Arabic MS 216,,manuscript,,,"Purchased by Enriqueta Rylands in 1901 from James Ludovic Lindsay, 26th Earl of Crawford, for the John Rylands Library.",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford",person_9985420,Enriqueta Rylands,person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_137_hist_1,manuscript_6616,,Persian_MS_137,,manuscript,,Persian_MS_137,"Formerly part of the collection of the Persian scholar Nathaniel Bland (1803-1865). Bland’s oriental manuscripts were sold through Bernard Quaritch in 1866 to Alexander Lindsay, 25th Earl of Crawford.",,,,,,,,,,,,,,,,,,,,,,,"Nathaniel Bland (1803-1865); Alexander Lindsay, 25th Earl of Crawford",person_20108923 person_97751058,,,Bernard Quaritch,person_5679225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_137_hist_2,manuscript_6616,,Persian_MS_137,,manuscript,,Persian_MS_137,"Purchased by Enriqueta Rylands, on behalf of the John Rylands Library, in 1901 from James Ludovic Lindsay, 26th Earl of Crawford.",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford",person_9985420,Enriqueta Rylands,person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_651_hist_1,manuscript_7154,,Persian_MS_651,,manuscript,,Persian_MS_651,"Subsequently acquired by Colonel George William Hamilton (1807-1868) who served in India from 1823 to 1867, latterly as Commissioner in Delhi. He acquired over a thousand Indian and Persian manuscripts, from which the British Museum purchased 352 from his widow, Charlotte Logie Hamilton (1817–1893), now held in the British Library.",,,,,,,,,,,,,,,,,,,,,,,Colonel George William Hamilton (1807-1868); Charlotte Logie Hamilton (1817–1893),person_f830 person_f8470,,,,,,,,,,,,,,,,,,,,,,,,British Museum; British Library,,,,,,,,India; Delhi,place_7000208 place_7001535,,,,,
Persian_MS_651_hist_2,manuscript_7154,,Persian_MS_651,,manuscript,,Persian_MS_651,"Alexander Lindsay, 25th Earl of Crawford (1812–1880), purchased the remainder in 1868 for Bibliotheca Lindesiana at Haigh Hall, Wigan.",,,,,,,,,,,,,,,,,,,,,,,"Alexander Lindsay, 25th Earl of Crawford (1812–1880)",person_97751058,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheca Lindesiana,person_295427552,,,,,,,Wigan,place_7010384,,,,,
Persian_MS_651_hist_3,manuscript_7154,,Persian_MS_651,,manuscript,,Persian_MS_651,"Purchased by Enriqueta Rylands (1843–1908) in 1901 from James Ludovic Lindsay, 26th Earl of Crawford (1847–1913).",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford (1847–1913)",person_9985420,Enriqueta Rylands (1843–1908),person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_651_hist_4,manuscript_7154,,Persian_MS_651,,manuscript,,Persian_MS_651,"Bequeathed by Enriqueta Rylands (1843–1908) in 1908 to the John Rylands Library, Manchester.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enriqueta Rylands (1843–1908),person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,Manchester,place_7010477,,,,,
Persian_MS_889_hist_1,manuscript_7400,,Persian_MS_889,,manuscript,,Persian_MS_889,"Subsequently obtained by Frederick Ayrton (1812–1873), who first served in the military in India, then as a civil engineer in Egypt, where he ultimately became Secretary to the Khedive ‘Abbas Pasha and later a British consular officer.",,,,,,,,,,,,,,,,,,,,,,,Frederick Ayrton (1812–1873),person_f8466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_889_hist_2,manuscript_7400,,Persian_MS_889,,manuscript,,Persian_MS_889,"After Ayrton's death, London bookseller Bernard Quaritch (1819–1899) obtained and then sold his oriental manuscripts for £150 to Alexander Lindsay, 25th Earl of Crawford (1812–1880) in 1874 for the Bibliotheca Lindesiana at Haigh Hall, Wigan.",,,,,,,,,,,,,,,,,,,,,,,"Alexander Lindsay, 25th Earl of Crawford (1812–1880)",person_97751058,,,Bernard Quaritch (1819–1899),person_5679225,,,,,,,,,,,,,,,,,,,,Bibliotheca Lindesiana,person_295427552,,,,,,,London; Wigan,place_7010384,,,,,
Persian_MS_889_hist_3,manuscript_7400,,Persian_MS_889,,manuscript,,Persian_MS_889,"Purchased by Enriqueta Rylands (1843–1908) in 1901 from James Ludovic Lindsay, 26th Earl of Crawford (1847–1913).",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford (1847–1913)",person_9985420,Enriqueta Rylands (1843–1908),person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_889_hist_4,manuscript_7400,,Persian_MS_889,,manuscript,,Persian_MS_889,"Bequeathed by Enriqueta Rylands (1843–1908) in 1908 to the John Rylands Library, Manchester.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enriqueta Rylands (1843–1908),person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,Manchester,,,,,,
Persian_MS_645_hist_1,manuscript_7147,,Persian_MS_645,,manuscript,,Persian_MS_645,"Previously owned or inspected by an unidentified person named Khvājah Bābā, as per his seal impressions on folios 3a and 77a.",,,,,,,,,,,,,,,,,,,,,,,Khvājah Bābā,person_f6554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_645_hist_2,manuscript_7147,,Persian_MS_645,,manuscript,,Persian_MS_645,"Previously held in the royal library of Awadh in Awadh (Oude), as indicated by dated library notations on folio 3a, and seal impressions of the Kings of Awadh Nāṣir al-Dīn Ḥaydar Shāh (b. 1803, r. 1827–1837), Muḥammad ‘Alī Shāh (b. 1777, r. 1837–1842), Amjad ‘Alī Shāh (b. 1801, r. 1842–1847), and Wājid ‘Alī Shāh (b. 1822, r. 1847–1856), then presumably looted during India's First War of Independence, when British soldiers ransacked the Qaisarbagh palace and library on 15 March 1858 (see Wolseley's memoir).",,,,,,,,,,,,,,,,,,,,,,,"Nāṣir al-Dīn Ḥaydar Shāh (b. 1803, r. 1827–1837); Muḥammad ‘Alī Shāh (b. 1777, r. 1837–1842); Amjad ‘Alī Shāh (b. 1801, r. 1842–1847); Wājid ‘Alī Shāh (b. 1822, r. 1847–1856)",person_265857376 person_41360366 person_9680150325559110090006 person_305855167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awadh; Awadh (Oude),place_7001502,,,,,
Persian_MS_645_hist_3,manuscript_7147,,Persian_MS_645,,manuscript,,Persian_MS_645,"Subsequently acquired by Colonel George William Hamilton (1807-1868) who served in India from 1823 to 1867, latterly as Commissioner in Delhi. He acquired over a thousand Indian and Persian manuscripts from which the British Museum selected 352 after his death, now held in the British Library.",,,,,,,,,,,,,,,,,,,,,,,Colonel George William Hamilton (1807-1868),person_f830,,,,,,,,,,,,,,,,,,,,,,,,British Museum; British Library,,,,,,,,India; Delhi,place_7000208,,,,,
Persian_MS_645_hist_4,manuscript_7147,,Persian_MS_645,,manuscript,,Persian_MS_645,"Alexander Lindsay, 25th Earl of Crawford (1812–1880), purchased the remainder in 1868.",,,,,,,,,,,,,,,,,,,,,,,"Alexander Lindsay, 25th Earl of Crawford (1812–1880)",person_97751058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_645_hist_5,manuscript_7147,,Persian_MS_645,,manuscript,,Persian_MS_645,"Purchased by Enriqueta Rylands (1843–1908) (1843–1908) in 1901 from James Ludovic Lindsay, 26th Earl of Crawford (1847–1913).",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford (1847–1913)",person_9985420,Enriqueta Rylands (1843–1908),person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_645_hist_6,manuscript_7147,,Persian_MS_645,,manuscript,,Persian_MS_645,Bequeathed by Enriqueta Rylands (1843–1908) in 1908 to the John Rylands Library.,,,,,,,,,,,,,,,,,,,,,,,,,Enriqueta Rylands (1843–1908),person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic MS 202_hist_1,manuscript_13902,,Arabic MS 202,,manuscript,,,"Formerly part of the collection of the Persian scholar Nathaniel Bland (1803-1865). Bland’s oriental manuscripts were sold through Bernard Quaritch in 1866 to Alexander Lindsay, 25th Earl of Crawford.",,,,,,,,,,,,,,,,,,,,,,,"Nathaniel Bland (1803-1865); Alexander Lindsay, 25th Earl of Crawford",person_20108923 person_97751058,,,Bernard Quaritch,person_5679225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic MS 202_hist_2,manuscript_13902,,Arabic MS 202,,manuscript,,,"Purchased by Enriqueta Rylands in 1901 from James Ludovic Lindsay, 26th Earl of Crawford, for the John Rylands Library.",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford",person_9985420,Enriqueta Rylands,person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_123_hist_1,manuscript_6601,,Persian_MS_123,,manuscript,,Persian_MS_123,"Formerly part of the collection of the Persian scholar Nathaniel Bland (1803-1865). Bland’s oriental manuscripts were sold through Bernard Quaritch in 1866 to Alexander Lindsay, 25th Earl of Crawford.",,,,,,,,,,,,,,,,,,,,,,,"Nathaniel Bland (1803-1865); Alexander Lindsay, 25th Earl of Crawford",person_20108923 person_97751058,,,Bernard Quaritch,person_5679225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_123_hist_2,manuscript_6601,,Persian_MS_123,,manuscript,,Persian_MS_123,"Purchased by Enriqueta Rylands, on behalf of the John Rylands Library, in 1901 from James Ludovic Lindsay, 26th Earl of Crawford.",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford",person_9985420,Enriqueta Rylands,person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_679_hist_1,manuscript_7182,,Persian_MS_679,,manuscript,,Persian_MS_679,"Formerly owned by Mughal prince Murād Bakhsh (d. 1661) and Mughal-era author possibly the fourth sonQābil Khān Khān, as per his seal dated as per their seal impressions on folio 1097 AH (1685–86 CE) cent.)1a.",,,,,,,,,,,,,,,,,,,,,,,"Murād Bakhsh (d. 1661); Qābil Khān Khān, as per his seal dated 1097 AH (1685–86 CE) cent.)",person_85163409126800092179 person_71126964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_679_hist_2,manuscript_7182,,Persian_MS_679,,manuscript,,Persian_MS_679,"Subsequently acquired by the royal library of the kings of Awadh (Oude) in Lucknow, as indicated by their seal impressions on folios 1a–1b and 532b. Probably initially held in the Moti Mahal Palace, then later transferred to the Qaisarbagh Palace. Presumably looted from the latter during India's First War of Independence, when British soldiers ransacked the Qaisarbagh palace and library on 15 March 1858 (see Wolseley's memoir).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucknow,place_7001561,,,,,
Persian_MS_679_hist_3,manuscript_7182,,Persian_MS_679,,manuscript,,Persian_MS_679,"Subsequently acquired by Colonel George William Hamilton (1807-1868) who served in India from 1823 to 1867, latterly as Commissioner in Delhi. He acquired over a thousand Indian and Persian manuscripts, from which the British Museum purchased 352 from his widow, Charlotte Logie Hamilton (1817–1893), now held in the British Library.",,,,,,,,,,,,,,,,,,,,,,,Colonel George William Hamilton (1807-1868); Charlotte Logie Hamilton (1817–1893),person_f830 person_f8470,,,,,,,,,,,,,,,,,,,,,,,,British Museum; British Library,,,,,,,,India; Delhi,,,,,,
Persian_MS_679_hist_4,manuscript_7182,,Persian_MS_679,,manuscript,,Persian_MS_679,"Alexander Lindsay, 25th Earl of Crawford (1812–1880) purchased the remainder of Hamilton's collection in 1868 for his Bibliotheca Lindesiana at Haigh Hall, Wigan.",,,,,,,,,,,,,,,,,,,,,,,"Alexander Lindsay, 25th Earl of Crawford (1812–1880)",person_97751058,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheca Lindesiana,person_295427552,,,,,,,Wigan,place_7010384,,,,,
Persian_MS_679_hist_5,manuscript_7182,,Persian_MS_679,,manuscript,,Persian_MS_679,"Purchased by Enriqueta Rylands (1843–1908) in 1901 from James Ludovic Lindsay, 26th Earl of Crawford (1847–1913).",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford (1847–1913)",person_9985420,Enriqueta Rylands (1843–1908),person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_679_hist_6,manuscript_7182,,Persian_MS_679,,manuscript,,Persian_MS_679,Bequeathed by Enriqueta Rylands (1843–1908) in 1908 to the John Rylands Library.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enriqueta Rylands (1843–1908),person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_678_hist_1,manuscript_7181,,Persian_MS_678,,manuscript,,Persian_MS_678,"From the collection of Colonel George William Hamilton (1807-1868) who served in India from 1823 to 1867 latterly as Commissioner in Delhi. He acquired over a thousand Indian and Persian manuscripts of which 352 were selected after his death for the British Museum. The remainder were purchased in 1868 by Alexander Lindsay, 25th Earl of Crawford.",,,,,,,,,,,,,,,,,,,,,,,"Colonel George William Hamilton (1807-1868); Alexander Lindsay, 25th Earl of Crawford",person_f830 person_97751058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_678_hist_2,manuscript_7181,,Persian_MS_678,,manuscript,,Persian_MS_678,"Purchased by Enriqueta Rylands, on behalf of the John Rylands Library, in 1901 from James Ludovic Lindsay, 26th Earl of Crawford.",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford",person_9985420,Enriqueta Rylands,person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_644_hist_1,manuscript_7146,,Persian_MS_644,,manuscript,,Persian_MS_644,"Accessioned by the royal library of royal library of Awadh (Oude) in Lucknow, held in the Moti Mahal Palace, then later transferred to the Qaisarbagh Palace, as indicated by a dated library notation on folio 5a, and seal impressions of the Kings of Awadh Nāṣir al-Dīn Ḥaydar Shāh (b. 1803, r. 1827–1837), Muḥammad ‘Alī Shāh (b. 1777, r. 1837–1842), Amjad ‘Alī Shāh (b. 1801, r. 1842–1847), and Wājid ‘Alī Shāh (b. 1822, r. 1847–1856), then presumably looted during India's First War of Independence, when British soldiers ransacked the Qaisarbagh palace and library on 15 March 1858 (see Wolseley's memoir).",,,,,,,,,,,,,,,,,,,,,,,"Nāṣir al-Dīn Ḥaydar Shāh (b. 1803, r. 1827–1837); Muḥammad ‘Alī Shāh (b. 1777, r. 1837–1842); Amjad ‘Alī Shāh (b. 1801, r. 1842–1847); Wājid ‘Alī Shāh (b. 1822, r. 1847–1856)",person_265857376 person_41360366 person_9680150325559110090006 person_305855167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awadh (Oude); Lucknow,place_7001502 place_7001561,,,,,
Persian_MS_644_hist_2,manuscript_7146,,Persian_MS_644,,manuscript,,Persian_MS_644,"Subsequently acquired by Colonel George William Hamilton (1807-1868) who served in India from 1823 to 1867, latterly as Commissioner in Delhi. He acquired over a thousand Indian and Persian manuscripts from which the British Museum selected 352 after his death, now held in the British Library.",,,,,,,,,,,,,,,,,,,,,,,Colonel George William Hamilton (1807-1868),person_f830,,,,,,,,,,,,,,,,,,,,,,,,British Museum; British Library,,,,,,,,India; Delhi,place_7000208,,,,,
Persian_MS_644_hist_3,manuscript_7146,,Persian_MS_644,,manuscript,,Persian_MS_644,"Alexander Lindsay, 25th Earl of Crawford (1812–1880), purchased the remainder in 1868.",,,,,,,,,,,,,,,,,,,,,,,"Alexander Lindsay, 25th Earl of Crawford (1812–1880)",person_97751058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_644_hist_4,manuscript_7146,,Persian_MS_644,,manuscript,,Persian_MS_644,"Purchased by Enriqueta Rylands (1843–1908) (1843–1908) in 1901 from James Ludovic Lindsay, 26th Earl of Crawford (1847–1913).",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford (1847–1913)",person_9985420,Enriqueta Rylands (1843–1908),person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_644_hist_5,manuscript_7146,,Persian_MS_644,,manuscript,,Persian_MS_644,Bequeathed by Enriqueta Rylands (1843–1908) in 1908 to the John Rylands Library.,,,,,,,,,,,,,,,,,,,,,,,,,Enriqueta Rylands (1843–1908),person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_122_hist_1,manuscript_6600,,Persian_MS_122,,manuscript,,Persian_MS_122,"Formerly part of the collection of the Persian scholar Nathaniel Bland (1803-1865). Bland’s oriental manuscripts were sold through Bernard Quaritch in 1866 to Alexander Lindsay, 25th Earl of Crawford.",,,,,,,,,,,,,,,,,,,,,,,"Nathaniel Bland (1803-1865); Alexander Lindsay, 25th Earl of Crawford",person_20108923 person_97751058,,,Bernard Quaritch,person_5679225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_122_hist_2,manuscript_6600,,Persian_MS_122,,manuscript,,Persian_MS_122,"Purchased by Enriqueta Rylands, on behalf of the John Rylands Library, in 1901 from James Ludovic Lindsay, 26th Earl of Crawford.",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford",person_9985420,Enriqueta Rylands,person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic MS 203_hist_1,manuscript_13903,,Arabic MS 203,,manuscript,,,"Formerly part of the collection of the Persian scholar Nathaniel Bland (1803-1865). Bland’s oriental manuscripts were sold through Bernard Quaritch in 1866 to Alexander Lindsay, 25th Earl of Crawford.",,,,,,,,,,,,,,,,,,,,,,,"Nathaniel Bland (1803-1865); Alexander Lindsay, 25th Earl of Crawford",person_20108923 person_97751058,,,Bernard Quaritch,person_5679225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic MS 203_hist_2,manuscript_13903,,Arabic MS 203,,manuscript,,,"Purchased by Enriqueta Rylands in 1901 from James Ludovic Lindsay, 26th Earl of Crawford, for the John Rylands Library.",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford",person_9985420,Enriqueta Rylands,person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_136_hist_1,manuscript_6615,,Persian_MS_136,,manuscript,,Persian_MS_136,"Formerly part of the collection of the Persian scholar Nathaniel Bland (1803-1865). Bland’s oriental manuscripts were sold through Bernard Quaritch in 1866 to Alexander Lindsay, 25th Earl of Crawford.",,,,,,,,,,,,,,,,,,,,,,,"Nathaniel Bland (1803-1865); Alexander Lindsay, 25th Earl of Crawford",person_20108923 person_97751058,,,Bernard Quaritch,person_5679225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_136_hist_2,manuscript_6615,,Persian_MS_136,,manuscript,,Persian_MS_136,"Purchased by Enriqueta Rylands, on behalf of the John Rylands Library, in 1901 from James Ludovic Lindsay, 26th Earl of Crawford.",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford",person_9985420,Enriqueta Rylands,person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic MS 217_hist_1,manuscript_13917,,Arabic MS 217,,manuscript,,,"From the collection of Colonel George William Hamilton (1807-1868) who served in India from 1823 to 1867 latterly as Commissioner in Delhi. He acquired over a thousand Indian and Persian manuscripts of which 352 were selected after his death for the British Museum. The remainder were purchased in 1868 by Alexander Lindsay, 25th Earl of Crawford.",,,,,,,,,,,,,,,,,,,,,,,"Colonel George William Hamilton (1807-1868); Alexander Lindsay, 25th Earl of Crawford",person_f830 person_97751058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic MS 217_hist_2,manuscript_13917,,Arabic MS 217,,manuscript,,,"Purchased by Enriqueta Rylands in 1901 from James Ludovic Lindsay, 26th Earl of Crawford, for the John Rylands Library.",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford",person_9985420,Enriqueta Rylands,person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_888_hist_1,manuscript_7399,,Persian_MS_888,,manuscript,,Persian_MS_888,"Purchased by Enriqueta Rylands, on behalf of the John Rylands Library, in 1901 from James Ludovic Lindsay, 26th Earl of Crawford.",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford",person_9985420,Enriqueta Rylands,person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_650_hist_1,manuscript_7153,,Persian_MS_650,,manuscript,,Persian_MS_650,"Hamilton ultimately acquired over a thousand Indian and Persian manuscripts, from which the British Museum purchased 352 from his widow, Charlotte Logie Hamilton (1817–1893), now held in the British Library.",,,,,,,,,,,,,,,,,,,,,,,Charlotte Logie Hamilton (1817–1893),person_f8470,,,,,,,,,,,,,,,,,,,,,,,,British Museum; British Library,,,,,,,,,,,,,,
Persian_MS_650_hist_2,manuscript_7153,,Persian_MS_650,,manuscript,,Persian_MS_650,"Alexander Lindsay, 25th Earl of Crawford (1812–1880) purchased the remainder of Hamilton's collection in 1868, then moved it to Bibliotheca Lindesiana at Haigh Hall, Wigan.",,,,,,,,,,,,,,,,,,,,,,,"Alexander Lindsay, 25th Earl of Crawford (1812–1880)",person_97751058,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheca Lindesiana,person_295427552,,,,,,,Wigan,place_7010384,,,,,
Persian_MS_650_hist_3,manuscript_7153,,Persian_MS_650,,manuscript,,Persian_MS_650,"Purchased by Enriqueta Rylands (1843–1908) in 1901 from James Ludovic Lindsay, 26th Earl of Crawford (1847–1913).",,,,,,,,,,,,,,,,,,,,,,,"James Ludovic Lindsay, 26th Earl of Crawford (1847–1913)",person_9985420,Enriqueta Rylands (1843–1908),person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian_MS_650_hist_4,manuscript_7153,,Persian_MS_650,,manuscript,,Persian_MS_650,"Bequeathed by Enriqueta Rylands (1843–1908) in 1908 to the John Rylands Library, Manchester.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enriqueta Rylands (1843–1908),person_f6379,,,,,,,,,,,,,,,,,,,,,,,,,,Manchester,place_7010477,,,,,
