metadata: history UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: history,overview: type,dates: when,dates: not before,dates: not after,dates: from,dates: to,dates: certainty,dates: calendar,people: author name(s),people: author ID(s),people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: annotator name(s),people: annotator ID(s),people: artist name(s),people: artist ID(s),people: patron name(s),people: patron ID(s),people: binder name(s),people: binder ID(s),people: former owner name(s),people: former owner ID(s),people: donor name(s),people: donor ID(s),people: bookseller name(s),people: bookseller ID(s),people: other name(s),people: other ID(s),former owners (person): standard name(s),former owners (person): birth,former owners (person): death,former owners (person): floruit not before,former owners (person): floruit not after,former owners (person): occupation,former owners (person): sex,former owners (person): nationality,former owners (person): lang knowledge,former owners (person): residence,former owners (person): affiliation,orgs: former owner name(s),orgs: former owner ID(s),orgs: patron name(s),orgs: patron ID(s),orgs: donor name(s),orgs: donor ID(s),orgs: other name(s),orgs: other ID(s),former owners (org): standard name(s),former owners (org): affiliation,former owners (org): latitude,former owners (org): longitude,former owners (org): settlement,former owners (org): country,places: name(s),places: ID(s),places: standard name(s),places: longitude,places: latitude,places: region,places: country
MS_Pococke_166_hist_1,manuscript_1404,,MS_Pococke_166,,manuscript,,MS_Pococke_166,"The collections of Edward Pococke, d. 1691.",,,,,,,,,,,,,,,,,,,,,,,"Edward Pococke, d. 1691",person_41849535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Pococke_166_hist_2,manuscript_1404,,MS_Pococke_166,,manuscript,,MS_Pococke_166,Purchased by the Bodleian Library in 1692.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Marsh_386_hist_1,manuscript_11690,,MS_Marsh_386,,manuscript,,MS_Marsh_386,"The Library of Archbishop Narcissus Marsh, d. .1713",,,,,,,,,,,,,,,,,,,,,,,"Archbishop Narcissus Marsh, d. 1713",person_22965285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Marsh_386_hist_2,manuscript_11690,,MS_Marsh_386,,manuscript,,MS_Marsh_386,The Marsh bequest entered the Bodleian Library in 1714.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Pococke_172_hist_1,manuscript_1409,,MS_Pococke_172,,manuscript,,MS_Pococke_172,"The collections of Edward Pococke, d. 1691.",,,,,,,,,,,,,,,,,,,,,,,"Edward Pococke, d. 1691",person_41849535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Pococke_172_hist_2,manuscript_1409,,MS_Pococke_172,,manuscript,,MS_Pococke_172,Purchased by the Bodleian Library in 1692.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Pococke_199_hist_1,manuscript_1428,,MS_Pococke_199,,manuscript,,MS_Pococke_199,"The collections of Edward Pococke, d. 1691.",,,,,,,,,,,,,,,,,,,,,,,"Edward Pococke, d. 1691",person_41849535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Pococke_199_hist_2,manuscript_1428,,MS_Pococke_199,,manuscript,,MS_Pococke_199,Purchased by the Bodleian Library in 1692.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Huntington_584_hist_1,manuscript_11256,,MS_Huntington_584,,manuscript,,MS_Huntington_584,"The collections of Robert Huntington, d. .1701",,,,,,,,,,,,,,,,,,,,,,,"Robert Huntington, d. 1701",person_34684157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Huntington_584_hist_2,manuscript_11256,,MS_Huntington_584,,manuscript,,MS_Huntington_584,Purchased by the Bodleian Library in 1693.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Huntington_8_9_hist_1,manuscript_11271,,MS_Huntington_8_9,,manuscript,,MS_Huntington_8_9,"The collections of Robert Huntington, d. .1701",,,,,,,,,,,,,,,,,,,,,,,"Robert Huntington, d. 1701",person_34684157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Huntington_8_9_hist_2,manuscript_11271,,MS_Huntington_8_9,,manuscript,,MS_Huntington_8_9,Purchased by the Bodleian Library in 1693.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Elliott_17_hist_1,manuscript_4275,,MS_Elliott_17,,manuscript,,MS_Elliott_17,The collections of Sir Gore Ouseley.,,,,,,,,,,,,,,,,,,,,,,,Sir Gore Ouseley,person_44733962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Elliott_17_hist_2,manuscript_4275,,MS_Elliott_17,,manuscript,,MS_Elliott_17,The collections of John Bardoe Elliott.,,,,,,,,,,,,,,,,,,,,,,,John Bardoe Elliott,person_f6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Elliott_17_hist_3,manuscript_4275,,MS_Elliott_17,,manuscript,,MS_Elliott_17,"Presented to the Bodleian Library by J.B. Elliott, in 1859.",,,,,,,,,,,,,,,,,,,,,,,,,J.B. Elliott,person_f6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Huntington_590_hist_1,manuscript_11258,,MS_Huntington_590,,manuscript,,MS_Huntington_590,"The collections of Robert Huntington, d. .1701",,,,,,,,,,,,,,,,,,,,,,,"Robert Huntington, d. 1701",person_34684157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Huntington_590_hist_2,manuscript_11258,,MS_Huntington_590,,manuscript,,MS_Huntington_590,Purchased by the Bodleian Library in 1693.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Marsh_379_hist_1,manuscript_1101,,MS_Marsh_379,,manuscript,,MS_Marsh_379,"The Library of Archbishop Narcissus Marsh, d. .1713",,,,,,,,,,,,,,,,,,,,,,,"Archbishop Narcissus Marsh, d. 1713",person_22965285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Marsh_379_hist_2,manuscript_1101,,MS_Marsh_379,,manuscript,,MS_Marsh_379,The Marsh bequest entered the Bodleian Library in 1714.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Or_169_hist_1,manuscript_11372,,MS_Laud_Or_169,,manuscript,,MS_Laud_Or_169,"The Library of Archbishop William Laud, d. 1645.",,,,,,,,,,,,,,,,,,,,,,,"Archbishop William Laud, d. 1645",person_54940373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Or_169_hist_2,manuscript_11372,,MS_Laud_Or_169,,manuscript,,MS_Laud_Or_169,"Donated to the Bodleian Library by Archbishop William Laud, between 1635-41.",,,,,,,,,,,,,,,,,,,,,,,,,Archbishop William Laud,person_54940373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
